label,auc_1
1AVB,0.9586687077181374
2AVB,0.8269550748752079
CLBBB,0.966791604197901
CRBBB,0.9061111111111111
ILBBB,0.9141414141414141
IRBBB,0.9348146862251541
ISCAN,0.9592546583850932
ISCIN,0.9120669056152927
ISCLA,0.9380116959064326
IVCD,0.8773523154966455
LAFB,0.9580246913580247
LAO/LAE,0.9403457186135613
LNGQT,0.8632008186554205
LPFB,0.9575707154742097
LVH,0.9609730848861284
NDT,0.8003554054394677
RVH,0.9390198279087167
SEHYP,0.8844678811121764
