,support_2
1AVB,231
2AVB,7
CLBBB,70
CRBBB,8
ILBBB,27
IRBBB,122
ISCAN,84
ISCIN,135
ISCLA,272
IVCD,60
LAFB,54
LAO/LAE,261
LNGQT,415
LPFB,8
LVH,371
NDT,556
RVH,26
SEHYP,21
