,support_2
1AVB,538
2AVB,16
CLBBB,161
CRBBB,20
ILBBB,59
IRBBB,285
ISCAN,197
ISCIN,316
ISCLA,631
IVCD,143
LAFB,126
LAO/LAE,609
LNGQT,976
LPFB,17
LVH,861
NDT,1327
RVH,60
SEHYP,50
