label,auc_1,auc_2,auc_3,auc_4,auc_5,auc_6,auc_7,auc_8,auc_9,auc_10
1AVB,0.9538996134317325,0.9574732929495332,0.9492485914130643,0.9514947710279806,0.9582482034875971,0.9513624843491867,0.9557933738078792,0.9491838441124077,0.9506944255371927,0.955577368185068
2AVB,0.7001745681734657,0.7587080722447476,0.8019085377097548,0.8090774630013742,0.757099972869133,0.7175332633053221,0.7148283316267143,0.7313694086346173,0.6251553175478203,0.7527152746781491
CLBBB,0.9861826886474775,0.9720827091961113,0.9774814488281538,0.9773277136833476,0.9755552546045503,0.9735224560324502,0.9729674826505812,0.9815266803642265,0.9734282368440313,0.9776909900149336
CRBBB,0.9254515357734046,0.9506880649326692,0.9340789959394611,0.9221335295199558,0.9249731137148355,0.9275493595640791,0.8840610630862608,0.9293948868861506,0.9226848105921295,0.9458672061798786
ILBBB,0.8725150429885806,0.8394244980201397,0.8656899380902363,0.8494947041566655,0.831774168264419,0.8433077542310312,0.8758477159294396,0.8538605312978571,0.8680379972859081,0.8502429789337868
IRBBB,0.9348985811222346,0.9380555914117291,0.9260488530736081,0.941648222971408,0.9249673104742858,0.9444784075247884,0.93563311200899,0.9336246793799485,0.9337247999178709,0.933709927855127
ISCAN,0.8856562486483943,0.8786995872369997,0.8399312913375714,0.8546867423894644,0.8869067447113805,0.8517186997201023,0.8722604613328862,0.8392596577677582,0.8820829508470334,0.8418767457054035
ISCIN,0.8067520616387105,0.8364649307999061,0.8274620028537589,0.867011637151587,0.8131922468354431,0.8284673386466636,0.8296419997505767,0.8569553025815302,0.853890768393029,0.8519400448961776
ISCLA,0.8488346896805171,0.849997129803062,0.8489505046238367,0.8545937083375996,0.84429404199398,0.8314921795777894,0.8440127980544163,0.8537735049525926,0.8409975002975837,0.8345118856652107
IVCD,0.7364006471667821,0.7557502681364594,0.7473164546914784,0.7455005242961853,0.7918218076159067,0.7507566784418461,0.7839496013175206,0.7576737190455636,0.7999865457857261,0.7632554945054946
LAFB,0.9372781271837874,0.9370169437668807,0.9526137258889894,0.9457314232471463,0.9481854181225251,0.9373536586218224,0.9448881900768693,0.9472152341020267,0.9560250686453289,0.941438388073608
LAO/LAE,0.7760371672348149,0.7969764968589168,0.7937472250998964,0.7537315856806465,0.7827763352300721,0.7352008286389322,0.7417765909854552,0.810206850695903,0.7842101385204833,0.760079887391205
LNGQT,0.6813080069513482,0.6802174185722452,0.6743571535840913,0.6835551975709784,0.6642181833213023,0.6897336796170082,0.691620627897976,0.6219289991121094,0.6774299401152198,0.6738262011185903
LPFB,0.7653900573155232,0.7706066752719897,0.7007299855607251,0.7515208198438013,0.8342245989304813,0.7406943121228835,0.7149816176470588,0.8240558155080215,0.7551753521244423,0.7611373574106493
LVH,0.9325107463301452,0.9290215727740836,0.9350817429639756,0.9332121214879475,0.9340757243847312,0.9238535361639407,0.9251599257834311,0.9241568932087234,0.9309168575881187,0.9203609526172166
NDT,0.7652799697598661,0.7744766871804916,0.7661941452754957,0.7613573958890647,0.7664904555341651,0.7655496478438852,0.7736588837912843,0.7673432040343992,0.7586267040519618,0.7732663778989948
RVH,0.8480874004648151,0.8890044580117219,0.8681525332662121,0.857743265897055,0.8473277898426488,0.8794281141485305,0.8576420793690988,0.8671441835787239,0.8719455442440961,0.8607314690880152
SEHYP,0.8044125138940348,0.7515677257525083,0.7943087272083553,0.7578617080400147,0.7983975546498703,0.8246913794700761,0.7343402649129307,0.7661662884401631,0.7414335988145953,0.7474730224157096
