,macro_auc
0,"0    0.842282
Name: macro_auc, dtype: float64"
1,"0    0.848124
Name: macro_auc, dtype: float64"
2,"0    0.844628
Name: macro_auc, dtype: float64"
3,"0    0.845427
Name: macro_auc, dtype: float64"
4,"0    0.84914
Name: macro_auc, dtype: float64"
5,"0    0.839816
Name: macro_auc, dtype: float64"
6,"0    0.836281
Name: macro_auc, dtype: float64"
7,"0    0.845269
Name: macro_auc, dtype: float64"
8,"0    0.840358
Name: macro_auc, dtype: float64"
9,"0    0.841428
Name: macro_auc, dtype: float64"
