,macro_auc
0,"0    0.916106
Name: macro_auc, dtype: float64"
1,"0    0.924513
Name: macro_auc, dtype: float64"
2,"0    0.915869
Name: macro_auc, dtype: float64"
3,"0    0.903331
Name: macro_auc, dtype: float64"
4,"0    0.913951
Name: macro_auc, dtype: float64"
