,label,auc,samples
1AVB,1AVB,0.9795856859922993,79
2AVB,2AVB,0.9658239700374531,1
3AVB,3AVB,0.9864168618266979,2
ALMI,ALMI,0.9660243407707911,29
AMI,AMI,0.8912600244664945,35
ANEUR,ANEUR,0.926195159497135,11
ASMI,ASMI,0.9684077281812126,237
CLBBB,CLBBB,0.9974830695686815,53
CRBBB,CRBBB,0.9975462740705179,54
DIG,DIG,0.9683550941219653,18
EL,EL,0.8188528443817583,10
ILBBB,ILBBB,0.9904297792390794,8
ILMI,ILMI,0.9688547151747248,48
IMI,IMI,0.9418557907389571,269
INJAL,INJAL,0.9796732642161482,15
INJAS,INJAS,0.9898345153664303,22
INJIL,INJIL,0.9934456928838952,1
INJIN,INJIN,0.9451990632318501,2
INJLA,INJLA,0.9995318352059925,1
IPLMI,IPLMI,0.9444705146253715,6
IPMI,IPMI,0.9985935302390999,4
IRBBB,IRBBB,0.9732760141093474,112
ISCAL,ISCAL,0.9608591955284375,66
ISCAN,ISCAN,0.8618198874296434,5
ISCAS,ISCAS,0.9662319644839068,17
ISCIL,ISCIL,0.9337475748518693,18
ISCIN,ISCIN,0.9485063399957017,22
ISCLA,ISCLA,0.9116815826660386,14
ISC_,ISC_,0.9705582690393231,128
IVCD,IVCD,0.8152009447540318,79
LAFB,LAFB,0.9734275644731198,163
LAO/LAE,LAO/LAE,0.8625752426645343,43
LMI,LMI,0.945179584120983,21
LNGQT,LNGQT,0.9074117647058824,12
LPFB,LPFB,0.9910859420061874,18
LVH,LVH,0.9482627903246971,214
NDT,NDT,0.9164303572327466,183
NORM,NORM,0.9553981745741206,941
NST_,NST_,0.8639011473962929,77
PMI,PMI,0.8875878220140515,2
RAO/RAE,RAO/RAE,0.9824635637047485,10
RVH,RVH,0.9818919310444734,13
SEHYP,SEHYP,0.9909403311465167,3
WPW,WPW,0.9166275246594646,8
