,label,auc,samples
1AVB,1AVB,0.9612946843983807,399
2AVB,2AVB,0.7720828662182361,8
3AVB,3AVB,0.8836048044681137,9
ALMI,ALMI,0.9751594913246509,145
AMI,AMI,0.878132348721909,177
ANEUR,ANEUR,0.9437220378120941,52
ASMI,ASMI,0.9765706478606166,1182
CLBBB,CLBBB,0.9981916347443922,269
CRBBB,CRBBB,0.9979533566047278,271
DIG,DIG,0.947440846508731,91
EL,EL,0.8719843747308546,49
ILBBB,ILBBB,0.9246817155310987,38
ILMI,ILMI,0.9633821142093202,240
IMI,IMI,0.942794408383925,1342
INJAL,INJAL,0.957575595900469,74
INJAS,INJAS,0.978070650856808,107
INJIL,INJIL,0.9714242339312406,8
INJIN,INJIN,0.9652116031390134,8
INJLA,INJLA,0.9432246410663677,9
IPLMI,IPLMI,0.957668195003275,25
IPMI,IPMI,0.9356418287210173,16
IRBBB,IRBBB,0.9788052521632805,558
ISCAL,ISCAL,0.9432546423588611,330
ISCAN,ISCAN,0.8917157733919496,21
ISCAS,ISCAS,0.9502764877476351,85
ISCIL,ISCIL,0.9553097345132743,90
ISCIN,ISCIN,0.9084786746925966,110
ISCLA,ISCLA,0.8930723708854008,71
ISC_,ISC_,0.9643922543249024,637
IVCD,IVCD,0.7982681194856359,394
LAFB,LAFB,0.9835769020251779,812
LAO/LAE,LAO/LAE,0.8503348657421174,214
LMI,LMI,0.886156238220882,100
LNGQT,LNGQT,0.8203219591202924,59
LPFB,LPFB,0.9841795853469739,90
LVH,LVH,0.9512353259172612,1068
NDT,NDT,0.9179388081254469,914
NORM,NORM,0.9546543816794787,4783
NST_,NST_,0.8804280545638152,385
PMI,PMI,0.8256875019464947,9
RAO/RAE,RAO/RAE,0.9342918776964922,50
RVH,RVH,0.9858008874817965,63
SEHYP,SEHYP,0.9686017886634882,15
WPW,WPW,0.9183915854572714,40
